City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
88,moscow,90,RU,1556427997,71,55.75,37.62,50.0,17.9
89,tuscaloosa,1,US,1556429138,63,33.21,-87.57,64.4,3.36
90,kapaa,90,US,1556429012,78,22.08,-159.32,78.8,2.01
91,grindavik,75,IS,1556427600,76,63.84,-22.43,48.99,11.41
92,myrtle beach,1,US,1556429323,72,33.7,-78.89,66.0,8.05
93,buala,73,SB,1556429356,74,-8.15,159.59,85.36,7.67
94,butaritari,96,KI,1556429356,83,3.07,172.79,83.92,14.34
95,saint-philippe,90,CA,1556429323,69,45.36,-73.48,37.99,12.75
96,tocopilla,94,CL,1556429172,96,-22.09,-70.2,64.12,11.61
97,luanda,75,AO,1556424000,83,-8.83,13.24,78.8,5.82
98,berlevag,47,NO,1556429356,69,70.86,29.09,35.32,12.37
99,talnakh,40,RU,1556427600,71,69.49,88.39,6.8,2.24
100,mar del plata,85,AR,1556429357,82,-46.43,-67.52,47.38,8.21
101,constitucion,90,MX,1556429357,44,23.99,-104.67,52.42,9.01
102,tuatapere,90,NZ,1556428809,89,-46.13,167.69,51.01,20.0
103,christchurch,86,NZ,1556429286,44,-43.53,172.64,61.0,11.41
104,trelew,23,AR,1556429358,74,-43.25,-65.31,55.3,17.38
105,ponta do sol,61,BR,1556429358,96,-20.63,-46.0,64.48,3.02
106,san jeronimo,100,PE,1556429358,87,-13.65,-73.37,43.06,5.26
107,kuusamo,0,FI,1556427000,68,65.96,29.19,30.2,4.7
108,pangoa,100,PE,1556429359,97,-12.12,-73.0,68.8,2.8
109,mandalgovi,21,MN,1556429359,24,45.76,106.27,58.0,18.3
110,cidreira,100,BR,1556429359,87,-30.17,-50.22,69.34,11.1
111,brae,37,GB,1556427000,87,60.4,-1.35,46.4,4.7
112,hinton,100,CA,1556429360,94,53.4,-117.57,15.7,3.96
113,yellowknife,20,CA,1556428972,53,62.45,-114.38,26.6,6.93
114,cheremshan,87,RU,1556429360,72,54.66,51.51,54.22,11.27
115,kaitangata,100,NZ,1556429254,80,-46.28,169.85,51.01,8.01
116,fortuna,0,ES,1556429317,87,38.18,-1.13,55.99,5.82
117,qinzhou,13,CN,1556429361,53,21.96,108.62,89.68,15.9
118,kibaya,75,RW,1556428975,88,-2.2,30.56,68.0,1.05
119,cotonou,20,BJ,1556427600,89,6.37,2.43,84.2,10.29
120,serenje,22,ZM,1556429362,89,-13.23,30.22,62.68,9.73
121,chuy,95,UY,1556429177,81,-33.69,-53.46,66.82,21.14
122,lavrentiya,41,RU,1556429362,96,65.58,-170.99,23.26,8.57
123,tessalit,63,ML,1556429362,25,20.2,1.01,83.38,4.18
124,san cristobal,0,EC,1556428576,81,-0.39,-78.55,53.6,4.7
125,cap malheureux,40,MU,1556429044,69,-19.98,57.61,82.4,11.41
126,new norfolk,20,AU,1556429354,63,-42.78,147.06,59.0,16.11
127,hakui,75,JP,1556428929,37,36.89,136.78,59.0,9.17
128,fengzhen,100,CN,1556429364,38,40.43,113.15,64.3,11.16
129,san ignacio,24,CL,1556428504,87,-36.8,-72.03,55.0,4.7
130,zaysan,27,KZ,1556429365,54,47.47,84.87,50.62,4.63
131,sinnamary,98,GF,1556429365,77,5.38,-52.96,81.04,15.12
132,sao filipe,94,CV,1556429365,85,14.9,-24.5,72.4,16.02
133,araouane,0,ML,1556429365,27,18.9,-3.53,83.38,7.54
134,jalu,41,LY,1556429365,46,29.03,21.55,72.94,12.88
135,inirida,74,CO,1556429366,96,3.87,-67.92,74.56,0.63
136,berlin,75,DE,1556429111,93,52.52,13.39,48.99,9.17
137,exeter,20,GB,1556429349,87,50.73,-3.53,48.0,6.93
138,carinhanha,51,BR,1556429366,84,-14.3,-43.77,69.34,2.26
139,takaka,85,NZ,1556429229,70,-40.86,172.81,61.0,5.99
140,lorengau,86,PG,1556429367,79,-2.02,147.27,84.28,2.84
141,victoria,75,BN,1556427600,79,5.28,115.24,86.0,5.82
142,binga,0,ZW,1556429368,54,-17.62,27.34,71.68,5.48
143,yining,86,CN,1556429368,67,29.04,114.56,73.66,2.84
144,cherskiy,41,RU,1556429369,88,68.75,161.3,27.76,6.31
145,tilichiki,6,RU,1556429369,68,60.47,166.1,34.78,4.97
146,makaha,90,US,1556429315,78,21.47,-158.22,73.4,3.36
147,puerto ayacucho,99,CO,1556429200,88,5.66,-67.63,78.88,1.01
148,barrow,0,AR,1556429370,71,-38.31,-60.23,58.54,12.1
149,hamina,0,FI,1556429360,55,60.57,27.2,37.0,13.87
150,shaunavon,100,CA,1556429370,77,49.65,-108.41,40.18,16.55
151,hamilton,75,BM,1556427300,88,32.3,-64.78,66.2,5.82
152,iqaluit,90,CA,1556428969,85,63.75,-68.52,24.8,5.82
153,ilulissat,72,GL,1556427000,86,69.22,-51.1,28.4,10.29
154,kahului,1,US,1556429136,65,20.89,-156.47,78.8,4.7
155,abbeville,100,FR,1556429361,81,50.11,1.83,46.4,11.41
156,lakhipur,0,IN,1556429372,43,26.03,90.3,94.9,7.27
157,nome,1,US,1556429319,82,30.04,-94.42,72.0,4.92
158,karratha,0,AU,1556429372,18,-20.74,116.85,92.56,12.57
159,oparino,15,RU,1556429372,55,59.85,48.28,35.5,9.8
160,sessa aurunca,40,IT,1556429361,93,41.24,13.93,59.0,2.24
161,troitsko-pechorsk,75,RU,1556429373,69,62.71,56.19,29.92,6.33
162,saint-francois,75,FR,1556428564,81,46.42,3.91,44.6,4.7
163,genhe,60,CN,1556429373,17,50.78,121.52,60.34,6.93
164,touros,20,BR,1556427600,94,-5.2,-35.46,75.2,3.36
165,la baneza,19,ES,1556429352,100,42.3,-5.9,48.0,1.3
166,klaksvik,0,FO,1556428800,93,62.23,-6.59,44.6,5.82
167,xam nua,56,LA,1556429374,34,20.42,104.04,86.26,4.07
168,mayo,40,CA,1556427600,25,63.59,-135.9,39.2,6.93
169,lagoa,0,PT,1556429289,62,37.14,-8.45,62.01,6.93
170,rosetown,100,CA,1556428550,40,51.55,-107.99,37.99,25.01
171,sorong,48,ID,1556429375,82,-0.86,131.25,86.44,1.79
172,raudeberg,97,NO,1556429103,93,61.99,5.14,53.01,1.12
173,mahebourg,40,MU,1556429044,69,-20.41,57.7,82.4,11.41
174,stephenville crossing,90,CA,1556428599,80,48.5,-58.44,39.2,18.34
175,kambove,74,CD,1556429376,81,-10.88,26.6,64.3,5.61
176,chapais,90,CA,1556427600,85,49.78,-74.86,17.6,13.87
177,codrington,0,AU,1556429323,47,-28.95,153.24,82.0,1.12
178,kushima,75,JP,1556427794,63,31.5,131.29,66.2,9.17
179,cerkezkoy,75,TR,1556429345,82,41.28,28.0,60.8,2.24
180,falam,11,MM,1556429378,29,22.91,93.68,86.8,9.75
181,thinadhoo,100,MV,1556429378,74,0.53,72.93,85.18,12.77
182,mwinilunga,45,ZM,1556429378,76,-11.73,24.43,65.2,6.2
183,xingyi,25,CN,1556429378,29,24.19,102.82,78.88,16.82
